Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_JA5708AA	AVC59	SRR7469858;ILLUMINA;Paired;;SRX4339652	Poultry	Poultry	Gallus gallus domesticus	2008	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09579977	SRS3500551	2018-07-04	2018-07-04	ESC_JA5708AA	O78	H4	117	ND	ABD	ND	Assembled	45	130611	5243822	Escherichia coli / Shigella;99.13%	143	123943	4	ESC_SA8283AA_AS	76622	70263	70263	70263	70263	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5707AA	AVC60	SRR7469857;ILLUMINA;Paired;;SRX4339653	Poultry	Poultry	missing	2008	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09579978	SRS3500553	2018-07-04	2018-07-04	ESC_JA5707AA	O111	H4	117	ND	ABD	ND	Assembled	63	126142	5258375	Escherichia coli / Shigella;98.49%	263	47832	4	ESC_SA8284AA_AS	76621	70267	70267	70267	70267	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5710AA	AVC61	SRR7469860;ILLUMINA;Paired;;SRX4339650	Poultry	Poultry	missing	2008	8			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579979	SRS3500549	2018-07-04	2018-07-04	ESC_JA5710AA	O2	H1	429	ND	B2	ND	Assembled	60	297535	5199551	Escherichia coli / Shigella;89.23%	79	25234	4	ESC_SA8281AA_AS	76624	70262	70262	70262	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5709AA	AVC64	SRR7469859;ILLUMINA;Paired;;SRX4339651	Poultry	Poultry	Gallus gallus domesticus	2008	9			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O24:H26			APEC			PRJNA479542	SRP151965		SAMN09579980	SRS3500550	2018-07-04	2018-07-04	ESC_JA5709AA	O24	H26	57	ST350 Cplx	AxB1	ND	Assembled	48	141469	5240862	Escherichia coli / Shigella;99.11%	143	33495	4	ESC_SA8282AA_AS	76623	70264	70264	70264	70264	70264	69242	69242	69242	4209	3590	175	175	2	1	E	E	fimH158	-	-	-	-	-	-	-	-	1664	Escherichia coli
ESC_JA5704AA	AVC65	SRR7469854;ILLUMINA;Paired;;SRX4339656	Poultry	Poultry	Gallus gallus domesticus	2008	9			Oceania	Australia							University of Technology, Sydney	Escherichia coli					APEC			PRJNA479542	SRP151965		SAMN09579981	SRS3500555	2018-07-04	2018-07-04	ESC_JA5704AA	O11 or OX19	H15	973	ND	ND	ND	Assembled	42	158979	5178342	Escherichia coli / Shigella;98.68%	111	26114	4	ESC_SA8287AA_AS	76619	70265	70265	70265	70265	69257	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5737AA	AVC7	SRR7469887;ILLUMINA;Paired;;SRX4339623	Poultry	Poultry	Gallus gallus domesticus	2007	7			Oceania	Australia							University of Technology, Sydney	Escherichia coli		Ont:H2			APEC			PRJNA479542	SRP151965		SAMN09579959	SRS3500521	2018-07-04	2018-07-04	ESC_JA5737AA	-	H2	3998	ND	ND	ND	Assembled	60	159905	5083167	Escherichia coli / Shigella;98.85%	107	17655	4	ESC_SA8254AA_AS	76642	70280	70280	70280	70280	70280	70280	70280	70280	68951	9050	1053	5	2	1	B1	B1	fimH86	-	-	-	-	-	-	-	-	15630	Escherichia coli
ESC_JA5703AA	AVC77	SRR7469853;ILLUMINA;Paired;;SRX4339657	Poultry	Poultry	missing	2008	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O111:H4			APEC			PRJNA479542	SRP151965		SAMN09579982	SRS3500559	2018-07-04	2018-07-04	ESC_JA5703AA	O111	H4	117	ND	ABD	ND	Assembled	63	136620	5524418	Escherichia coli / Shigella;95.17%	259	61967	4	ESC_SA8288AA_AS	76618	70266	70266	70266	70266	29949	29949	29949	29949	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_JA5706AA	AVC79	SRR7469856;ILLUMINA;Paired;;SRX4339654	Poultry	Poultry	Meleagris gallopavo	2008	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O36:H4			APEC			PRJNA479542	SRP151965		SAMN09579983	SRS3500552	2018-07-04	2018-07-04	ESC_JA5706AA	O36	H4	117	ND	ABD	ND	Assembled	37	132055	5139235	Escherichia coli / Shigella;92.93%	142	56087	4	ESC_SA8285AA_AS	75636	69256	69256	69256	69256	69256	69256	69256	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5738AA	AVC8	SRR7469888;ILLUMINA;Paired;;SRX4339622	Poultry	Poultry	Meleagris gallopavo	2007	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H1			APEC			PRJNA479542	SRP151965		SAMN09579960	SRS3500522	2018-07-04	2018-07-04	ESC_JA5738AA	O2	H1	429	ND	B2	ND	Assembled	43	297527	5196952	Escherichia coli / Shigella;92.19%	75	22394	4	ESC_SA8253AA_AS	76645	70281	70281	70281	70262	69260	69260	4221	4221	4221	4221	2745	2745	7	1	B2	B2	fimH20	-	-	-	-	-	-	-	-	1645	Escherichia coli
ESC_JA5705AA	AVC80	SRR7469855;ILLUMINA;Paired;;SRX4339655	Poultry	Poultry	Gallus gallus domesticus	2008	10			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4			APEC			PRJNA479542	SRP151965		SAMN09579984	SRS3500554	2018-07-04	2018-07-04	ESC_JA5705AA	O78	H4	117	ND	ABD	ND	Assembled	45	134303	5465167	Escherichia coli / Shigella;96.29%	134	48837	4	ESC_SA8286AA_AS	76620	70271	70271	70271	70271	69252	69252	69252	69252	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	14754	Escherichia coli
ESC_JA5702AA	AVC91	SRR7469852;ILLUMINA;Paired;;SRX4339658	Poultry	Poultry	missing	2009	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O11:H15			APEC			PRJNA479542	SRP151965		SAMN09579985	SRS3500557	2018-07-04	2018-07-04	ESC_JA5702AA	O11 or OX19	H15	973	ND	ND	ND	Assembled	54	169420	5175787	Escherichia coli / Shigella;94.87%	113	28390	4	ESC_SA8289AA_AS	76652	70290	70290	70290	70290	69257	69241	69241	69241	1419	1419	1419	1419	642	1	D	D	fimH26	-	-	-	-	-	-	-	-	15031	Escherichia coli
ESC_JA5701AA	AVC94	SRR7469851;ILLUMINA;Paired;;SRX4339659	Poultry	Poultry	missing	2009	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O81:H19			APEC			PRJNA479542	SRP151965		SAMN09579986	SRS3500556	2018-07-04	2018-07-04	ESC_JA5701AA	O81	H19	1125	ND	B1	ND	Assembled	50	147314	5031199	Escherichia coli / Shigella;97.83%	115	15734	4	ESC_SA8290AA_AS	75642	69263	69263	69263	69263	69263	69263	69263	69263	69263	1172	96	5	2	1	B1	B1	fimH547	-	-	-	-	-	-	-	-	30332	Escherichia/Shigella sp.
ESC_JA5720AA	AVC97	SRR7469870;ILLUMINA;Paired;;SRX4339640	Poultry	Poultry	Gallus gallus domesticus	2009	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O2:H4			APEC			PRJNA479542	SRP151965		SAMN09579988	SRS3500538	2018-07-04	2018-07-04	ESC_JA5720AA	O2	H4	79	ND	B2	ND	Assembled	65	192487	5091684	Escherichia coli / Shigella;96.52%	136	15036	4	ESC_SA8271AA_AS	76629	70268	70268	70268	70268	70268	70268	70268	8174	8174	44	44	44	1	1	B2	B2	fimH27	-	-	-	-	-	-	-	-	85389	Escherichia/Shigella sp.
ESC_JA5717AA	AVC98	SRR7469867;ILLUMINA;Paired;;SRX4339643	Poultry	Poultry	Gallus gallus domesticus	2009	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H26			APEC			PRJNA479542	SRP151965		SAMN09579989	SRS3500542	2018-07-04	2018-07-04	ESC_JA5717AA	O78	H26	1640	ST350 Cplx	ND	ND	Assembled	52	126216	5234595	Escherichia coli / Shigella;99.04%	128	32849	4	ESC_SA8274AA_AS	76239	68975	68975	68975	68975	68975	68975	68975	68975	68975	68975	175	175	2	1	E	E	fimH31	-	-	-	-	-	-	-	-	85286	Escherichia/Shigella sp.
ESC_JA5719AA	AVC96	SRR8671292;PACBIO_SMRT;Single;;SRX5467230;,SRR7469869;ILLUMINA;Paired;;SRX4339641;	Poultry	Avian	Gallus gallus domesticus	2009	1			Oceania	Australia							University of Technology, Sydney	Escherichia coli		O78:H4						PRJNA479542	SRP151965		SAMN09579987	SRS3500540	2018-07-04	2018-07-04	ESC_JA5719AA	O78	H4	117	ND	ABD	ND	Assembled	56	147903	5225399	Escherichia coli / Shigella;97.25%	144	33277	4	ESC_SA8272AA_AS	75638	69258	69258	69258	69258	69258	69258	69258	7256	50	50	50	50	2	1	G	U/cryptic	fimH97	-	-	-	-	-	-	-	-	1658	Escherichia coli
ESC_ZA5967AA	FH1	traces-0gSIGNn;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5967AA	O116	H16	1818	ND	AxB1	ND	Assembled	86	85675	5276000	Escherichia coli / Shigella;94.62%	255	57197	4.1	ESC_DC3852AA_AS	227189	136233	136233	136233	136233	136233	136233	136233	136233	136233	3593	3593	5	2	1	A	A	fimH86	-	-	-	-	-	-	-	-	33377	Escherichia/Shigella sp.
ESC_RA3369AA	FH100	SRR8733872;ILLUMINA;Paired;;SRX5526724	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104377	SRS4493284	2020-05-01	2020-04-10	ESC_RA3369AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	133	203908	5345234	Escherichia coli / Shigella;98.85%	122	22188	4.1	ESC_KB9735AA_AS	153622	136212	136212	136212	136212	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3384AA	FH101	SRR8733887;ILLUMINA;Paired;;SRX5526709	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104378	SRS4493269	2020-05-01	2020-04-10	ESC_RA3384AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	135	207029	5339126	Escherichia coli / Shigella;97.71%	128	21931	4.1	ESC_KB9720AA_AS	153636	136212	136212	136212	136212	4252	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_AB1180AA	FH102	traces-0WQlTYy;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2015				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-16	2023-06-23	ESC_AB1180AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	80	263183	5251967	Escherichia coli / Shigella;98.73%	108	33411	4.1	ESC_DC5488AA_AS	228134	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3385AA	FH103	SRR8733888;ILLUMINA;Paired;;SRX5526708	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104379	SRS4493268	2020-05-01	2020-04-10	ESC_RA3385AA	O2	H5	-793	ST95 Cplx	B2	ND	Assembled	117	279574	5613840	Escherichia coli / Shigella;97.46%	119	30040	4.1	ESC_KB9719AA_AS	153637	136225	136225	136225	136225	136225	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3382AA	FH104	SRR8733885;ILLUMINA;Paired;;SRX5526711	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104380	SRS4493271	2020-05-01	2020-04-10	ESC_RA3382AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	149	212400	5340061	Escherichia coli / Shigella;95.56%	121	28565	4.1	ESC_KB9722AA_AS	153635	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3383AA	FH105	SRR8733886;ILLUMINA;Paired;;SRX5526710	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104381	SRS4493270	2020-05-01	2020-04-10	ESC_RA3383AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	128	264618	5267020	Escherichia coli / Shigella;97.57%	117	36680	4.1	ESC_KB9721AA_AS	153638	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_ZA0398AA	FH106	traces-0TYZxOC;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0398AA	O45	H4	117	ND	ABD	ND	Assembled	79	147072	5301510	Escherichia coli / Shigella;98.19%	165	42260	4.1	ESC_CC8001AA_AS	221943	193810	193810	193810	193810	193810	193810	12601	12601	50	50	50	50	2	1	G	F	fimH97	-	-	-	-	-	-	-	-	-133411	ND
ESC_AB1022AA	FH107	traces-0sGiIxW;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2015				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB1022AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	83	241709	5237185	Escherichia coli / Shigella;98.79%	91	39594	4.1	ESC_DC5472AA_AS	228122	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_RA3368AA	FH108	SRR8733871;ILLUMINA;Paired;;SRX5526725	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2015				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104382	SRS4493285	2020-05-01	2020-04-10	ESC_RA3368AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	200	264618	5257304	Escherichia coli / Shigella;96.4%	117	28651	4.1	ESC_KB9751AA_AS	153733	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_ZA0347AA	FH108	traces-0lylumk;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-06	2023-04-13	ESC_ZA0347AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	200	264618	5257187	Escherichia coli / Shigella;96.4%	117	28709	4.1	ESC_CC7947AA_AS	221899	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_ZA5969AA	FH109	traces-0vtmCDm;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2015				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5969AA	O2	H5	95	ST95 Cplx	B2	ND	Assembled	90	234637	5248425	Escherichia coli / Shigella;97.75%	121	35421	4.1	ESC_DC3854AA_AS	227192	136227	136227	136227	136227	136227	4252	4252	4252	4252	44	44	44	1	1	B2	B2	fimH526	-	-	-	-	-	-	-	-	33339	Escherichia/Shigella sp.
ESC_AB1290AA	FH11	traces-0buhaFA;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-17	2023-06-24	ESC_AB1290AA	O116	H16	1818	ND	AxB1	ND	Assembled	73	75439	5283878	Escherichia coli / Shigella;96.87%	269	100454	4.1	ESC_DC5515AA_AS	228158	199480	199480	136233	136233	136233	136233	136233	136233	136233	3593	3593	5	2	1	A	A	fimH86	-	-	-	-	-	-	-	-	33377	Escherichia/Shigella sp.
ESC_AB1026AA	FH110	traces-0YezoZj;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB1026AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	88	314383	4989940	Escherichia coli / Shigella;100.0%	85	19051	4.1	ESC_DC5476AA_AS	228125	199458	199458	136221	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_ZA0404AA	FH111	traces-0Tbuioz;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-07	2023-04-14	ESC_ZA0404AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	89	320402	5001388	Escherichia coli / Shigella;100.0%	95	20435	4.1	ESC_CC8007AA_AS	221949	193815	193815	136221	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_RA3381AA	FH112	SRR8733884;ILLUMINA;Paired;;SRX5526712	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104383	SRS4493272	2020-05-01	2020-04-10	ESC_RA3381AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	147	318246	5004149	Escherichia coli / Shigella;100.0%	89	23750	4.1	ESC_KB9723AA_AS	153634	136221	136221	136221	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_RA3380AA	FH113	SRR8733883;ILLUMINA;Paired;;SRX5526713	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104384	SRS4493273	2020-05-01	2020-04-10	ESC_RA3380AA	O2	H5	355	ST73 Cplx	ND	ND	Assembled	182	317004	5004724	Escherichia coli / Shigella;100.0%	87	24323	4.1	ESC_KB9724AA_AS	153632	136221	136221	136221	136218	136218	4254	4240	4240	4240	1416	1416	1416	1	1	B2	B2	fimH154	-	-	-	-	-	-	-	-	24490	Escherichia coli
ESC_ZA2048AA	FH114	traces-0lanFpv;ILLUMINA;Paired;;NA	Poultry	Avian	diseased chicken					Oceania	Australia	New South Wales						AusGEM	Escherichia coli													2022-04-28	2023-05-05	ESC_ZA2048AA	O78	H4	117	ND	ABD	ND	Assembled	69	251447	5176309	Escherichia coli / Shigella;100.0%	115	32692	4.1	ESC_CC9877AA_AS	223554	195250	195250	136216	136216	136216	136216	136216	1285	50	50	50	50	2	1	G	F	fimH916	-	-	-	-	-	-	-	-	146171	Escherichia coli
ESC_RA3405AA	FH115	SRR8733908;ILLUMINA;Paired;;SRX5526688	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104385	SRS4493248	2020-05-01	2020-04-10	ESC_RA3405AA	O78	H4	117	ND	ABD	ND	Assembled	131	249856	5184556	Escherichia coli / Shigella;100.0%	107	26973	4.1	ESC_KB9699AA_AS	153655	136216	136216	136216	136216	136216	136216	136216	1285	50	50	50	50	2	1	G	F	fimH916	-	-	-	-	-	-	-	-	146171	Escherichia coli
ESC_RA3373AA	FH116	SRR8733876;ILLUMINA;Paired;;SRX5526720	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104386	SRS4493280	2020-05-01	2020-04-10	ESC_RA3373AA	O78	H4	117	ND	ABD	ND	Assembled	143	252098	5183219	Escherichia coli / Shigella;100.0%	96	28260	4.1	ESC_KB9731AA_AS	153626	136216	136216	136216	136216	136216	136216	136216	1285	50	50	50	50	2	1	G	F	fimH916	-	-	-	-	-	-	-	-	146171	Escherichia coli
ESC_RA3402AA	FH117	SRR8733905;ILLUMINA;Paired;;SRX5526691	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104387	SRS4493251	2020-05-01	2020-04-10	ESC_RA3402AA	O78	H4	117	ND	ABD	ND	Assembled	187	249856	5193182	Escherichia coli / Shigella;100.0%	117	29804	4.1	ESC_KB9702AA_AS	153650	136216	136216	136216	136216	136216	136216	136216	1285	50	50	50	50	2	1	G	F	fimH916	-	-	-	-	-	-	-	-	146171	Escherichia coli
ESC_ZA5951AA	FH118	traces-0pKnKCt;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-09	2023-06-16	ESC_ZA5951AA	O15	H18	13296	ST69 Cplx	D	ND	Assembled	87	196439	5149371	Escherichia coli / Shigella;100.0%	108	13570	4.1	ESC_DC3836AA_AS	227172	198568	198568	198568	198568	198568	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3360AA	FH119	SRR8733863;ILLUMINA;Paired;;SRX5526733	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104388	SRS4493293	2020-05-01	2020-04-10	ESC_RA3360AA	O111	H4	155	ST155 Cplx	B1	ND	Assembled	251	120666	5027952	Escherichia coli / Shigella;98.95%	112	186987	4.1	ESC_KB9757AA_AS	153724	136211	136211	136211	136211	136211	136211	2297	2297	1157	106	106	5	2	1	B1	B1	fimH366	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_AB0981AA	FH12	traces-0ArLqMH;ILLUMINA;Paired;;NA	Poultry	Avian	broiler chicken	2016				Oceania	Australia							AusGEM	Escherichia coli					APEC								2022-06-15	2023-06-22	ESC_AB0981AA	O18	H49	212	ND	AxB1	ND	Assembled	73	157109	4980788	Escherichia coli / Shigella;95.41%	121	55488	4.1	ESC_DC5435AA_AS	228086	199439	199439	199439	199439	199439	199439	2315	2302	2302	2302	2302	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	15573	Escherichia coli
ESC_RA3359AA	FH120	SRR8733862;ILLUMINA;Paired;;SRX5526734	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104389	SRS4493294	2020-05-01	2020-04-10	ESC_RA3359AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	134	244667	5160028	Escherichia coli / Shigella;98.36%	103	10756	4.1	ESC_KB9758AA_AS	153720	136284	136284	136284	136284	136284	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	2135	Escherichia coli
ESC_RA3358AA	FH121	SRR8733861;ILLUMINA;Paired;;SRX5526735	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104390	SRS4493295	2020-05-01	2020-04-10	ESC_RA3358AA	O15	H18	69	ST69 Cplx	D	ND	Assembled	219	273076	5160313	Escherichia coli / Shigella;100.0%	91	9114	4.1	ESC_KB9759AA_AS	153721	136279	136279	136279	136279	136279	136223	1204	46	32	32	32	32	2	1	D	D	fimH27	-	-	-	-	-	-	-	-	146178	Escherichia coli
ESC_RA3357AA	FH122	SRR8733860;ILLUMINA;Paired;;SRX5526736	Poultry	Poultry	poultry farm; Gallus gallus; extraintestinal site; extraintestinal site	2016				Oceania	Australia							University of Technology Sydney	Escherichia coli								PRJNA526575	SRP188540		SAMN11104391	SRS4493296	2020-05-01	2020-04-10	ESC_RA3357AA	O15	H4	93	ST168 Cplx	A	ND	Assembled	172	110953	5076945	Escherichia coli / Shigella;97.98%	134	53426	4.1	ESC_KB9760AA_AS	153718	136230	136230	136230	136230	136230	136230	136230	21738	21738	3609	13	5	2	1	A	A	Unknown	-	-	-	-	-	-	-	-	146173	Escherichia coli
